"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2023-24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
New South Wales,1,Mining,B,Supply,Distributed,ML,np,np,np,5957.8833,5798.3447,5815.6183,5190.2311,np,np,np
New South Wales,1,Manufacturing,C,Supply,Distributed,ML,316.8593,331.1229,396.9754,377.0337,372.3378,375.4852,387.4018,np,np,np
New South Wales,1,Electricity and gas supply,D,Supply,Distributed,ML,np,np,np,2626.7109,2165.3568,3058.1534,2400.4246,885.5369,na,na
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,4946474.059,3792205.014,5265419.773,5471901.352,3619600.248,2363124.91,4500465,4894318.741,5026483.354,5850151.588
New South Wales,1,"Waste collection, treatment and disposal services",D,Supply,Distributed,ML,-,-,-,-,-,-,-,-,na,na
New South Wales,1,"Total Electricity, gas, water and waste services (f)",D,Supply,Distributed,ML,np,np,np,5474528.063,3621765.604,2366183.063,4502865.425,4895204.278,5026483.354,5850151.588
New South Wales,1,Other industries,E -S,Supply,Distributed,ML,na,na,na,na,na,na,na,na,na,na
New South Wales,1,Total industry,Total industry,Supply,Distributed,ML,4954965.895,3799661.151,5274145.653,5480862.98,3627936.287,2372374.167,4508443.057,4900246.139,5031740.468,5855119.774
New South Wales,1,Households (g),HH,Supply,Distributed,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Environment,Environment,Supply,Distributed,ML,..,..,..,..,..,..,..,..,..,..
New South Wales,1,Total,Total,Supply,Distributed,ML,4954965.895,3799661.151,5274145.653,5480862.98,3627936.287,2372374.167,4508443.057,4900246.139,5031740.468,5855119.774
New South Wales,1,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
