"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2021-22",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,   2014-15   ,   2015-16   ,   2016-17   ,   2017-18   ,   2018-19   ,   2019-20   ,   2020-21   ,  2021-22  
New South Wales,1,"Agriculture, forestry and fishing (d)",A,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Mining,B,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Manufacturing,C,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Electricity and gas supply,D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,"Waste collection, treatment and disposal services",D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,"Total Electricity, gas, water and waste services",D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Other industries,E -S,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Total industry,Total industry,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Households (e),HH,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Environment,Environment,Supply,Self-extracted,ML,"15,854,157.22","15,245,154.56","17,532,389.92","16,565,188.48","12,320,633.32","9,692,725.75","14,765,790.16","16,242,216.64"
New South Wales,1,Total,Total,Supply,Self-extracted,ML,"15,854,157.22","15,245,154.56","17,532,389.92","16,565,188.48","12,320,633.32","9,692,725.75","14,765,790.16","16,242,216.64"
New South Wales,1,"Agriculture, forestry and fishing (d)",A,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Mining,B,Supply,Distributed,ML, np , np , np ,"4,317.93","4,143.73","4,148.27","3,663.69", np 
New South Wales,1,Manufacturing,C,Supply,Distributed,ML,159.6056,176.1301,166.4619,158.3267,151.4585,160.03,163.4629, np 
New South Wales,1,Electricity and gas supply,D,Supply,Distributed,ML, np , np , np ,"2,626.71","2,165.36","3,058.15","2,400.42",855.4267
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,"4,946,474.06","3,792,205.01","5,265,419.77","5,471,901.35","3,619,600.25","2,363,124.91","4,500,465.00","4,895,469.70"
New South Wales,1,"Waste collection, treatment and disposal services",D,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
New South Wales,1,"Total Electricity, gas, water and waste services",D,Supply,Distributed,ML, np , np , np ,"5,474,528.06","3,621,765.60","2,366,183.06","4,502,865.42","4,896,325.13"
New South Wales,1,Other industries,E -S,Supply,Distributed,ML, na , na , na , na , na , na , na , na 
New South Wales,1,Total industry,Total industry,Supply,Distributed,ML,"4,953,311.92","3,797,986.04","5,272,390.44","5,479,004.32","3,626,060.79","2,370,491.37","4,506,692.58","4,899,644.07"
New South Wales,1,Households (e),HH,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Environment,Environment,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
New South Wales,1,Total,Total,Supply,Distributed,ML,"4,953,311.92","3,797,986.04","5,272,390.44","5,479,004.32","3,626,060.79","2,370,491.37","4,506,692.58","4,899,644.07"
New South Wales,1,"Agriculture, forestry and fishing (d)",A,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
New South Wales,1,Mining,B,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
New South Wales,1,Manufacturing,C,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
